trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.67410016141461,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.66246695533091,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.88575264080157,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-5.624181297897335,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,13,1.1925996182806191,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.63599083020523,"{0: 9, 1: 7, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.75288760146007,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.92108691137733,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.24082609746804,"{0: 19, 1: 3, 2: 1, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.32231293362221,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,20,-40.10113536272571,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.947105467087994,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.75257683547638,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.01408150060604,"{0: 10, 1: 7, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.72587328546639,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.9518776825937,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.06922619831171,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.10947520089582,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.76695881870313,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.49577139036651,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.35107206298517,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.92032492207565,"{0: 16, 1: 1, 2: 2, 3: 5, 4: 1}",0
