trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,23,9.737051744449555,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-109.36585256473542,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-196.59490461505618,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-11.16209615930716,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-11.812584249165173,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-122.49771348137921,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,16,-3.658366128345325,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-49.86047795647063,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-95.03508064894062,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-62.67375924110863,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-64.10872726990807,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-21.249954504082442,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-51.490778014133255,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,18,-32.839909642510065,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,2.109503263877356,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,6.992687725519358,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,9.021867133447708,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,-26.09290970100748,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-5.6700869093692745,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-8.755284794576777,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.205281328775202,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-162.47013989335653,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 4}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,18,10.859324153726249,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,16,16.84343872546103,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,30.00523913271425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,6,22.62188308257443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.59321407262692,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-2.3121708056731,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,16,7.337070724836268,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,10,7.571047592770067,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
