trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-188.79829970465872,"{0: 11, 1: 6, 2: 3, 3: 3, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.25}",35,0,-211.34903625689185,"{0: 23, 1: 3, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",30,0,-98.16557272147224,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.0625}",20,0,-107.84801475055919,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.04}",20,0,-36.12937625780845,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",30,15,-16.320372056734776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",20,0,-69.16067236600796,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.015625}",20,0,-12.432132456479133,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,0,-42.42732478007429,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.01}",20,0,-52.160014962736085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",25,0,3.21600597854606,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,0,6.41111122353152,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,0,-82.6020856627575,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",20,0,-100.11479753595559,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",25,0,4.737627935560768,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.00390625}",20,0,-135.64520982519105,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",20,5,19.31166171565915,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,0,-32.06233635190417,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",20,2,-51.51921545200304,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,0,-55.071098184929554,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",25,11,16.275592244921814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,5,-23.483568561836442,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",20,0,-12.459312987875126,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",25,0,10.127084499647241,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.0016}",20,0,25.726549870853802,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",25,0,-2.9138447513029115,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",20,2,-21.277700828710515,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",25,0,-71.97767566609545,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",25,4,-3.062337066511461,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",20,0,-49.25754142187402,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",20,0,12.553403724580654,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.0009765625}",30,0,28.50895630310664,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",20,0,-19.43270755916118,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,0,-43.245070653841275,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",20,6,-10.89721320792361,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",25,3,-57.02170928180663,"{0: 18, 1: 1, 2: 0, 3: 2, 4: 1}",1
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",30,0,-21.676438935458272,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",20,0,28.835717596764063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",25,11,-20.045149638175726,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.000625}",30,0,-9.365559971774024,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.000594883997620464}",25,0,-69.6775042109156,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.9, 'e': 0.0005668934240362812}",30,20,18.896862965837634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.0005408328826392645}",20,0,-103.95253308987337,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.9, 'e': 0.0005165289256198347}",20,9,16.088336729072648,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.0004938271604938272}",30,13,23.973948188295484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.0004725897920604915}",30,8,-17.745522031513318,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.9, 'e': 0.0004526935264825713}",20,13,-40.031015740292666,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
