Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Observed Attendance,Marital Status,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 1,Male,Chennai,Hosur,Hosur,Hosur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 2,Male,Chennai,Bangalore,Hosur,Trichy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 3,Male,Chennai,Chennai,Hosur,Chennai,NA,Na,NA,NA,NA,NA,NA,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 4,Male,Chennai,Chennai,Hosur,Chennai,Yes,Yes,No,Yes,No,Yes,Yes,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 5,Male,Chennai,Bangalore,Hosur,Chennai,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Married,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 12,Female,Bangalore,Bangalore,Bangalore,Trivandrum,No,Yes,No,No,Yes,Yes,Yes,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 18,Female,Bangalore,Bangalore,Bangalore,Bangalore,No,Yes,Yes,No,Yes,Yes,Yes,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 21,Male,Bangalore,Bangalore,Bangalore,Trivandrum,Not yet,Yes,Yes,Yes,Yes,Yes,No,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 25,Male,Bangalore,Bangalore,Bangalore,Trivandrum,Yes,Yes,Yes,No,No,Yes,Yes,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 26,Male,Bangalore,Bangalore,Bangalore,Cochin,No,No,Yes,Yes,Yes,Yes,No,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 27,Male,Bangalore,Bangalore,Bangalore,Bangalore,No,Yes,Yes,Yes,Yes,Yes,No,No,Married,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 28,Male,Bangalore,Bangalore,Bangalore,Bangalore,No,Yes,Yes,Yes,No,Yes,No,No,Single,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 32,Female,Chennai,Chennai,Chennai,Coimbatore,Yes,Yes,Yes,No,Yes,Yes,Need To Check,No,Single,,,,,
